date,in_bed,asleep,snoring,rhr,hrv,body_weight_lb,other_notes,run_count,bike_count,swim_count,walk_count,strength_count,other_count,tri_session_count,total_session_count,run_miles,bike_miles,swim_miles,training_minutes,tri_training_minutes,total_elevation_ft,avg_hr_all,max_hr_all,avg_power_bike,weighted_power_bike,avg_cadence_bike,avg_cadence_run,avg_pace_run_min_per_mi,sauna_mins,notes
2026-01-20,,,,,,,,0,1,1,1,1,0,2,4,0,20.29,1.25,179.5,106,265,120.4,154,150.5,155,98.3,,,,
2026-01-19,,,,,,,,0,0,0,1,2,0,0,3,0,0,0,89,0,93,89.5,98,,,,,,,
2026-01-18,,,,,,,,1,0,0,1,0,0,1,2,7.2,0,0,102.5,75.1,1089,120.1,145,,,,,10.43,,
2026-01-17,,,,,,,,0,1,1,1,0,0,2,3,0,55.02,1.52,258.9,231.3,1693,134.3,158,139.9,143,95.7,,,,
2026-01-16,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,25.8,0,99,87.9,111,,,,,,,
2026-01-15,,,,,,,,2,1,1,1,0,0,4,5,4.21,20.14,1.29,180.9,154.5,1183,128.6,156,147.1,151,100,175.6,9.69,,
2026-01-14,,,,,,,,1,0,0,1,0,0,1,2,7.72,0,0,109.3,80.3,98,126.2,165,,,,160.2,10.41,,
2026-01-13,,,,,,,,0,1,1,1,0,0,2,3,0,20.32,1.34,127,108.5,335,123.1,154,141.9,148,97.8,,,,
2026-01-12,,,,,,,,0,0,0,1,2,0,0,3,0,0,0,94.8,0,106,83.6,98,,,,,,,
2026-01-11,,,,,,,,1,3,0,1,0,0,4,5,4.52,56.33,0,408,380.5,1482,129.3,146,143,140,97.8,178.6,9.95,,
2026-01-10,,,,,,,,2,1,1,1,0,0,4,5,4.24,35.98,1.87,258.1,230.8,1968,128,153,144.3,146,98.9,175.4,9.7,,
2026-01-09,,,,,,,,0,0,0,1,1,0,0,2,0,0,0,100.2,0,89,87.9,105,,,,,,,
2026-01-08,,,,,,,,1,1,1,3,2,0,3,8,1.68,17.41,1.34,202.3,107.9,1312,120.7,156,152.8,156,99.4,176.8,10.06,,
2026-01-07,,,,,,,,1,0,0,1,0,0,1,2,9.38,0,0,123.7,97,1383,125.2,147,,,,,10.34,,
2026-01-06,,,,,,,,0,1,1,1,2,0,2,5,0,19.52,1.36,185,102.9,594,115.9,151,144.2,150,99,,,,
